#,attrubute_month,enterprise_name,usc_id,claim_id
1,2023-10,广东德中众惠智能装备科技有限公司,91440300MA5GF08U93,484309856484851715
2,2022-11,深圳市阳和通电子有限公司,914403000944108271,484311350965698563
3,2023-04,深圳市阳和通电子有限公司,914403000944108271,484311351217356803
4,2023-08,深圳市阳和通电子有限公司,914403000944108271,484311351284465667
5,2023-04,深圳市阳和通电子有限公司,914403000944108271,484311351485792259
6,2023-09,深圳市南基科技有限公司,914403003295707976,484311670336782339
7,2023-07,深圳品创兴科技有限公司,91440300691192370A,484311716105027587
8,2023-08,深圳创盈芯实业有限公司,91440300MA5DRN3C5F,484311788716818435
9,2023-08,深圳市晶测科技有限公司,91440300MA5ET9NG98,484311848124940291
10,2023-09,深圳市晶测科技有限公司,91440300MA5ET9NG98,484311848259158019
11,2023-06,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,484311894295838723
12,2023-09,深圳市铨天科技有限公司,91440300MA5GY7CP63,484311929511215107
13,2023-07,汇钜电科（东莞）实业有限公司,91441900MA518B0W2Y,484311972209229827
14,2022-11,深圳市阳和通电子有限公司,914403000944108271,484530681808945155
15,2023-04,深圳市阳和通电子有限公司,914403000944108271,484530681976717315
16,2023-08,深圳市阳和通电子有限公司,914403000944108271,484530682144489475
17,2023-04,深圳市阳和通电子有限公司,914403000944108271,484530682312261635
18,2023-04,深圳市三利达电器科技有限公司,91440300088298699C,485491366252511235
19,2023-04,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447571677187
20,2023-07,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447605231619
21,2023-06,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447638786051
22,2023-11,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447756226563
23,2022-11,深圳市德智欣科技有限公司,91440300691177752R,485491788669255683
24,2023-04,深圳市德智欣科技有限公司,91440300691177752R,485491788719587331
25,2023-08,深圳市德智欣科技有限公司,91440300691177752R,485491788753141763
26,2023-11,深圳市德智欣科技有限公司,91440300691177752R,485491789021577219
27,2022-12,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855258025987
28,2023-07,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855291580419
29,2023-04,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855358689283
30,2022-12,深圳市福佳远景电子科技有限公司,91440300MA5EPKGM1K,485491905841332227
31,2023-07,深圳市福佳远景电子科技有限公司,91440300MA5EPKGM1K,485491906009104387
32,2023-04,深圳禾苗通信科技有限公司,91440300693964493K,485491947499159555
33,2023-08,深圳禾苗通信科技有限公司,91440300693964493K,485491947616600067
34,2023-11,深圳禾苗通信科技有限公司,91440300693964493K,485491947767595011
35,2023-04,泸州禾苗通信科技有限公司,91510500MA67CPNH38,485491974879576067
36,2023-08,泸州禾苗通信科技有限公司,91510500MA67CPNH38,485491975131234307
37,2023-11,泸州禾苗通信科技有限公司,91510500MA67CPNH38,485491975315783683
38,2023-03,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,485492238969733123
39,2023-09,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,485492239288500227
40,2023-09,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,485492239322054659
41,2023-06,湖北世纪联合创新科技有限公司,91420500MA48B1ALXL,485492463264333827
42,2023-03,北海世纪联合创新科技有限公司,914505003273593227,485492660212072451
43,2023-05,深圳市多科电子有限公司,91440300085707442K,485492704420036611
44,2023-09,深圳市多科电子有限公司,91440300085707442K,485492704738803715
45,2023-06,深圳市天技电子技术有限公司,914403000703938666,485492797147709443
46,2023-09,深圳市天技电子技术有限公司,914403000703938666,485492797315481603
47,2023-04,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,485492830131716099
48,2023-09,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,485492830165270531
49,2023-09,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,485492830198824963
50,2023-10,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,485492830249156611
51,2023-04,深圳恒毅信息技术有限公司,91440300MA5GQ2RBX5,485492868215996419
52,2023-09,深圳恒毅信息技术有限公司,91440300MA5GQ2RBX5,485492868383768579
53,2023-09,深圳恒毅信息技术有限公司,91440300MA5GQ2RBX5,485492868568317955
54,2023-10,深圳恒毅信息技术有限公司,91440300MA5GQ2RBX5,485492868668981251
55,2022-11,深圳市阳和通电子有限公司,914403000944108271,485492917608120323
56,2023-04,深圳市阳和通电子有限公司,914403000944108271,485492917658451971
57,2023-08,深圳市阳和通电子有限公司,914403000944108271,485492917775892483
58,2023-04,深圳市阳和通电子有限公司,914403000944108271,485492917943664643
59,2023-11,深圳市中科领创实业有限公司,91440300MA5FN5FY20,486074468024772630
60,2023-11,深圳市阳和通电子有限公司,914403000944108271,486074468075104278
61,2023-11,深圳市阳和通电子有限公司,914403000944108271,486074468142213142
62,2023-11,深圳市阳和通电子有限公司,914403000944108271,486074468209322006
