,#,attrubute_month,enterprise_name,usc_id,claim_id,score,总分
0,1,2023-10,广东德中众惠智能装备科技有限公司,91440300MA5GF08U93,484309856484851715,3.8909598510450003,38.90959851045
1,2,2022-11,深圳市阳和通电子有限公司,914403000944108271,484311350965698563,,53.93965699431
2,3,2023-04,深圳市阳和通电子有限公司,914403000944108271,484311351217356803,,51.444189451529994
3,4,2023-08,深圳市阳和通电子有限公司,914403000944108271,484311351284465667,,50.270328943189995
4,5,2023-04,深圳市阳和通电子有限公司,914403000944108271,484311351485792259,,51.444189451529994
5,6,2023-09,深圳市南基科技有限公司,914403003295707976,484311670336782339,,41.76758542011
6,7,2023-07,深圳品创兴科技有限公司,91440300691192370A,484311716105027587,,43.759074579529994
7,8,2023-08,深圳创盈芯实业有限公司,91440300MA5DRN3C5F,484311788716818435,,51.52742249122
8,9,2023-08,深圳市晶测科技有限公司,91440300MA5ET9NG98,484311848124940291,,45.82312645818999
9,10,2023-09,深圳市晶测科技有限公司,91440300MA5ET9NG98,484311848259158019,,45.82312645818999
10,11,2023-06,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,484311894295838723,,38.359306041610004
11,12,2023-09,深圳市铨天科技有限公司,91440300MA5GY7CP63,484311929511215107,,53.86738769015
12,13,2023-07,汇钜电科（东莞）实业有限公司,91441900MA518B0W2Y,484311972209229827,,53.96124304631
13,14,2022-11,深圳市阳和通电子有限公司,914403000944108271,484530681808945155,,55.31521044111
14,15,2023-04,深圳市阳和通电子有限公司,914403000944108271,484530681976717315,,52.819742898330006
15,16,2023-08,深圳市阳和通电子有限公司,914403000944108271,484530682144489475,,51.64588238998999
16,17,2023-04,深圳市阳和通电子有限公司,914403000944108271,484530682312261635,,52.819742898330006
17,18,2023-04,深圳市三利达电器科技有限公司,91440300088298699C,485491366252511235,,47.54559747179
18,19,2023-04,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447571677187,,51.80525553372999
19,20,2023-07,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447605231619,,50.64017440935
20,21,2023-06,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447638786051,,51.214604093729996
21,22,2023-11,深圳市中易腾达科技股份有限公司,9144030079172256X3,485491447756226563,,48.615944118600005
22,23,2022-11,深圳市德智欣科技有限公司,91440300691177752R,485491788669255683,,58.579940019510005
23,24,2023-04,深圳市德智欣科技有限公司,91440300691177752R,485491788719587331,,58.97848301819
24,25,2023-08,深圳市德智欣科技有限公司,91440300691177752R,485491788753141763,,58.253288739510005
25,26,2023-11,深圳市德智欣科技有限公司,91440300691177752R,485491789021577219,,56.58337844876
26,27,2022-12,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855258025987,,55.67206065369
27,28,2023-07,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855291580419,,51.682279015169996
28,29,2023-04,深圳市中科领创实业有限公司,91440300MA5FN5FY20,485491855358689283,,48.46113981645001
