id,scorecard_id,field,agg_field,pattern,expr,score,level,comment,status_code,created_at,updated_at,deleted_at,created_by,updated_by
470271246890708118,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,default,None,1.0000000000,1,空 ,,2023-07-20 14:05:06.208,2023-07-20 14:05:06.208,,,
470271246890773654,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,inRange,"(0,3]",1.0000000000,1,<=3年,,2023-07-20 14:05:06.223,2023-07-20 14:05:06.223,,,
470271246890839190,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,inRange,"(3,6]",3.0000000000,1,（3，6年],,2023-07-20 14:05:06.233,2023-07-20 14:05:06.233,,,
470271246890904726,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,inRange,"(6,10]",5.0000000000,1,（6，10年],,2023-07-20 14:05:06.245,2023-07-20 14:05:06.245,,,
470271246890970262,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,inRange,"(10,15]",7.0000000000,1,（10，15年],,2023-07-20 14:05:06.255,2023-07-20 14:05:06.255,,,
470271246891035798,470269276289576086,sw_jcxx_clnx,sw_jcxx_clnx,inRange,"(15,inf]",10.0000000000,1,>15年,,2023-07-20 14:05:06.264,2023-07-20 14:05:06.264,,,
470271246891101334,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,default,None,1.0000000000,1,空 ,,2023-07-20 14:05:06.274,2023-07-20 14:05:06.274,,,
470271246891166870,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,inRange,"(0,3000000]",1.0000000000,1,<=300万,,2023-07-20 14:05:06.283,2023-07-20 14:05:06.283,,,
470271246891232406,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,inRange,"(3000000,10000000]",3.0000000000,1,（300万，1000万],,2023-07-20 14:05:06.293,2023-07-20 14:05:06.293,,,
470271246891297942,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,inRange,"(10000000,30000000]",5.0000000000,1,（1000万，3000万],,2023-07-20 14:05:06.303,2023-07-20 14:05:06.303,,,
470271246891363478,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,inRange,"(30000000,50000000]",7.0000000000,1,（3000万，5000万],,2023-07-20 14:05:06.315,2023-07-20 14:05:06.315,,,
470271246891429014,470269276289576086,sw_cwbb_sszb,sw_cwbb_sszb,inRange,"(50000000,inf]",10.0000000000,1,>5000万,,2023-07-20 14:05:06.327,2023-07-20 14:05:06.327,,,
470271246891494550,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,default,None,1.0000000000,1,空 ,,2023-07-20 14:05:06.338,2023-07-20 14:05:06.338,,,
470271246891560086,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(0,100]",1.0000000000,1,<=100,,2023-07-20 14:05:06.351,2023-07-20 14:05:06.351,,,
470271246891625622,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(100,200]",1.0000000000,1,（100，200],,2023-07-20 14:05:06.361,2023-07-20 14:05:06.361,,,
470271246891691158,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(200,500]",3.0000000000,1,（200，500],,2023-07-20 14:05:06.370,2023-07-20 14:05:06.370,,,
470271246891756694,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(500,1000]",5.0000000000,1,（500，1000],,2023-07-20 14:05:06.380,2023-07-20 14:05:06.380,,,
470271246891822230,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(1000,2000]",7.0000000000,1,（1000，2000],,2023-07-20 14:05:06.391,2023-07-20 14:05:06.391,,,
470271246891887766,470269276289576086,sw_sdsnb_cyrs,sw_sdsnb_cyrs,inRange,"(2000,inf]",10.0000000000,1,>2000,,2023-07-20 14:05:06.401,2023-07-20 14:05:06.401,,,
470271246891953302,470269276289576086,gs_gdct,gs_gdct,default,None,3.0000000000,1,空 ,,2023-07-20 14:05:06.413,2023-07-20 14:05:06.413,,,
470271246892018838,470269276289576086,gs_gdct,gs_gdct,exact,0,3.0000000000,1,其他,,2023-07-20 14:05:06.425,2023-07-20 14:05:06.425,,,
470271246892084374,470269276289576086,gs_gdct,gs_gdct,exact,1,3.0000000000,1,股东代持，或股东有负面信息,,2023-07-20 14:05:06.442,2023-07-20 14:05:06.442,,,
470271246892149910,470269276289576086,gs_gdct,gs_gdct,exact,2,3.0000000000,1,第一大股东为自然人,,2023-07-20 14:05:06.452,2023-07-20 14:05:06.452,,,
470271246892215446,470269276289576086,gs_gdct,gs_gdct,exact,3,4.0000000000,1,股东为实控人，股东无其他负面信息,,2023-07-20 14:05:06.463,2023-07-20 14:05:06.463,,,
470271246892280982,470269276289576086,gs_gdct,gs_gdct,exact,4,8.0000000000,1,股东中包含知名基金公司投资,,2023-07-20 14:05:06.473,2023-07-20 14:05:06.473,,,
470271246892346518,470269276289576086,gs_gdct,gs_gdct,exact,5,10.0000000000,1,上市公司，国内500强,,2023-07-20 14:05:06.483,2023-07-20 14:05:06.483,,,
